,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME
1,h000001_900106,126.4846686,33.5114235,2023-04-29 22:54:00,h_h000001,1,제주특별자치도 제주시 용담삼동 2555,제주특별자치도,제주시,용담삼동,제주어멍 통갈치 제주공항본점
2,h000001_900106,126.4851633,33.5114461,2023-04-30 02:12:00,h_h000001,2,제주특별자치도 제주시 용담삼동 2555,제주특별자치도,제주시,용담삼동,제주고집 제주공항점
3,h000001_900106,126.5486443,33.4757968,2023-04-30 12:21:00,h_h000001,2,제주특별자치도 제주시 아라일동 6171,제주특별자치도,제주시,아라일동,고서방짬뽕
4,h000001_900106,126.6700709,33.5426264,2023-04-30 14:16:00,h_h000001,2,제주특별자치도 제주시 조천읍 함덕리 1004-58,제주특별자치도,제주시,조천읍 함덕리,함덕뚝배기
5,h000001_900106,126.8806871,33.5265546,2023-04-30 15:14:00,h_h000001,2,제주특별자치도 제주시 구좌읍 하도리 1952-6,제주특별자치도,제주시,구좌읍 하도리,하도로와족욕카페
6,h000001_900106,126.9132899,33.4681075,2023-04-30 18:46:00,h_h000001,2,제주특별자치도 서귀포시 성산읍 오조리 494-2,제주특별자치도,서귀포시,성산읍 오조리,썬레이크빌 제주
7,h000001_900106,126.9112945,33.4648074,2023-05-01 00:44:00,h_h000001,3,제주특별자치도 서귀포시 성산읍 오조리 609-1,제주특별자치도,서귀포시,성산읍 오조리,제주다모르
8,h000001_900106,126.9644691,33.5134004,2023-05-01 13:42:00,h_h000001,3,제주특별자치도 제주시 우도면 우도해안길 914,제주특별자치도,제주시,우도면,우도해녀922
9,h000001_900106,126.9574912,33.5137181,2023-05-01 13:56:00,h_h000001,3,제주특별자치도 제주시 우도면 연평리 1290-5,제주특별자치도,제주시,우도면 연평리,하고수동해변
10,h000001_900106,126.942886,33.50318,2023-05-01 15:03:00,h_h000001,3,제주특별자치도 제주시 우도면 연평리 2565-1,제주특별자치도,제주시,우도면 연평리,빨간머리앤의집
11,h000001_900106,126.9192004,33.4415678,2023-05-01 18:49:00,h_h000001,3,제주특별자치도 서귀포시 성산읍 고성리 444-17,제주특별자치도,서귀포시,성산읍 고성리,흑미진
