,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME
0,h001807_67789,126.5261762102579,33.51168542855532,2023-07-11 21:53:00,h_h001807,1,제주특별자치도 제주시 이도일동 1436-23,제주특별자치도,제주시,이도일동,동문올레수산
1,h001807_67789,126.391611411225,33.48651205839318,2023-07-11 23:06:00,h_h001807,1,제주특별자치도 제주시 애월읍 애월해안로 885,제주특별자치도,제주시,애월읍,애월포구횟집
2,h001807_67789,126.28973202191617,33.30610578473304,2023-07-12 09:40:00,h_h001807,2,제주특별자치도 서귀포시 안덕면 서광리 1235-1,제주특별자치도,서귀포시,안덕면 서광리,오설록 말차 누들바
4,h001807_67789,126.31712169470023,33.30641791880327,2023-07-12 10:53:00,h_h001807,2,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도,서귀포시,안덕면,제주신화월드 신화쇼핑스트리트
5,h001807_67789,126.30314592129449,33.24605101197187,2023-07-12 12:23:00,h_h001807,2,제주특별자치도 서귀포시 안덕면 사계리 879-6,제주특별자치도,서귀포시,안덕면 사계리,모먼트테이블
6,h001807_67789,126.4166460562532,33.25466562129319,2023-07-12 13:36:00,h_h001807,2,제주특별자치도 서귀포시 색달동 3383,제주특별자치도,서귀포시,색달동,중문흑돼지천국
7,h001807_67789,126.41816109526964,33.25298239883357,2023-07-12 13:50:00,h_h001807,2,제주특별자치도 서귀포시 중문동 2232,제주특별자치도,서귀포시,중문동,천제연난대림
8,h001807_67789,126.4097398456822,33.25340121120357,2023-07-12 16:06:00,h_h001807,2,제주특별자치도 서귀포시 중문관광로72번길 60,제주특별자치도,서귀포시,,그랜드조선 힐 스위트
9,h001807_67789,126.4067374903678,33.258029291184954,2023-07-12 17:17:00,h_h001807,2,제주특별자치도 서귀포시 색달동 3383,제주특별자치도,서귀포시,색달동,우담 제주중문본점
10,h001807_67789,126.41172150254198,33.25048524868352,2023-07-13 11:13:00,h_h001807,3,제주특별자치도 서귀포시 색달동 2822-1,제주특별자치도,서귀포시,색달동,테디베어뮤지엄 제주점
11,h001807_67789,126.67051359935073,33.54249619368409,2023-07-13 15:15:00,h_h001807,3,제주특별자치도 제주시 조천읍 함덕리 산 14-70,제주특별자치도,제주시,조천읍 함덕리,해녀김밥 본점
12,h001807_67789,126.66864058609777,33.54254420919901,2023-07-13 15:28:00,h_h001807,3,제주특별자치도 제주시 조천읍 조함해안로 522,제주특별자치도,제주시,조천읍,함덕연옥
13,h001807_67789,126.66633426074354,33.54177724529095,2023-07-13 15:44:00,h_h001807,3,제주특별자치도 제주시 조천읍 함덕리 1270-9,제주특별자치도,제주시,조천읍 함덕리,저팔계깡통연탄구이
14,h001807_67789,126.4830771017189,33.48551698297016,2023-07-13 20:53:00,h_h001807,3,제주특별자치도 제주시 노형동 951,제주특별자치도,제주시,노형동,제주모다정
